Compound_ID	Standard Type	Standard Units	Smiles	Standard Value	pChEMBL Value	Assay ChEMBL ID	Standard Relation	Target ChEMBL ID	n_isomers	Molecular Weight
CHEMBL1224045	IC50	nM	CCNC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O	2100.0	5.68	CHEMBL1226015	=	CHEMBL278	1	510.0960564679999
CHEMBL1224046	IC50	nM	CCCCNC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O	1500.0	5.82	CHEMBL1226015	=	CHEMBL278	1	538.1273565959999
CHEMBL1224047	IC50	nM	CC(C)CCNC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O	1100.0	5.96	CHEMBL1226015	=	CHEMBL278	1	552.14300666
CHEMBL1221437	IC50	nM	CCCCCCCNC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O	4400.0	5.36	CHEMBL1226015	=	CHEMBL278	1	580.1743067880001
CHEMBL1224113	IC50	nM	CN(C)C(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O	1500.0	5.82	CHEMBL1226015	=	CHEMBL278	1	510.0960564679999
CHEMBL1224114	IC50	nM	CC(C)NC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O	6600.0	5.18	CHEMBL1226015	=	CHEMBL278	1	524.111706532
CHEMBL1224115	IC50	nM	CC(C)(C)NC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O	1200.0	5.92	CHEMBL1226015	=	CHEMBL278	1	538.1273565959999
CHEMBL1224116	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)NC1CC1	300.0	6.52	CHEMBL1226015	=	CHEMBL278	1	522.0960564679999
CHEMBL1224117	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1nc2ccccc2s1	600.0	6.22	CHEMBL1226015	=	CHEMBL278	1	615.0633764359999
CHEMBL1224183	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)NCc1cccs1	700.0	6.16	CHEMBL1226015	=	CHEMBL278	1	578.068127468
CHEMBL1224184	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)NCCc1c[nH]c2ccccc12	600.0	6.22	CHEMBL1226015	=	CHEMBL278	1	625.1382556279999
CHEMBL1224185	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)NCc1ccc2c(c1)OCO2	3000.0	5.52	CHEMBL1226015	=	CHEMBL278	1	616.101535772
CHEMBL1224186	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccccc1F	600.0	6.22	CHEMBL1226015	=	CHEMBL278	1	576.0866346559999
CHEMBL1224187	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccccc1Cl	700.0	6.16	CHEMBL1226015	=	CHEMBL278	1	592.0570841159999
CHEMBL1224256	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccc(Cl)cc1	2800.0	5.55	CHEMBL1226015	=	CHEMBL278	1	592.0570841159999
CHEMBL1224257	IC50	nM	COc1ccccc1NC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O	600.0	6.22	CHEMBL1226015	=	CHEMBL278	1	588.1066211520001
CHEMBL1224258	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccccc1	1500.0	5.82	CHEMBL1226015	=	CHEMBL278	1	558.0960564679999
CHEMBL1224259	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccccc1C(F)(F)F	900.0	6.05	CHEMBL1226015	=	CHEMBL278	1	626.0834410959999
CHEMBL1224337	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1nccs1	200.0	6.70	CHEMBL1226015	=	CHEMBL278	1	565.0477263719999
CHEMBL1224338	IC50	nM	Cc1nnc(NC(=O)[C@@H]2OCO[C@H]2C(=O)N[C@@H](Cc2ccc(OCc3c(Cl)cccc3Cl)cc2)C(=O)O)s1	1500.0	5.82	CHEMBL1226015	=	CHEMBL278	1	580.058625404
CHEMBL1224339	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1c(F)cccc1F	500.0	6.30	CHEMBL1226015	=	CHEMBL278	1	594.077212844
CHEMBL1224418	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1c(Cl)cccc1Cl	700.0	6.16	CHEMBL1226015	=	CHEMBL278	1	626.0181117640001
CHEMBL1224419	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1c(Cl)cncc1Cl	400.0	6.40	CHEMBL1226015	=	CHEMBL278	1	627.013360732
CHEMBL1224420	IC50	nM	CC(C)(C)c1cc(NC(=O)[C@@H]2OCO[C@H]2C(=O)N[C@@H](Cc2ccc(OCc3c(Cl)cccc3Cl)cc2)C(=O)O)n(Cc2ccccc2)n1	1000.0	6.00	CHEMBL1226015	=	CHEMBL278	1	694.196104852
CHEMBL1224421	IC50	nM	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)[C@@H]2OCO[C@H]2C(=O)N[C@@H](Cc2ccc(OCc3c(Cl)cccc3Cl)cc2)C(=O)O)cc1	2600.0	5.58	CHEMBL1226015	=	CHEMBL278	1	694.1961048520001
CHEMBL1224422	IC50	nM	O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)N1CCOCC1	3400.0	5.47	CHEMBL1226015	=	CHEMBL278	1	552.1066211519999
